C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_00_557.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_00_557.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_00_557.jpg, 0, 0, 0, 7.895819E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_00_661.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_00_661.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_00_661.jpg, 0, 0, 0, 7.852966E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_00_764.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_00_764.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_00_764.jpg, 0, 0, 0, 7.986171E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_00_866.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_00_866.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_00_866.jpg, 0, 0, 0, 7.762848E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_00_968.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_00_968.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_00_968.jpg, 0, 0, 0, 7.839358E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_01_074.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_01_074.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_01_074.jpg, 0, 0, 0, 7.827641E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_01_176.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_01_176.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_01_176.jpg, 0, 0, 0, 7.806314E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_01_276.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_01_276.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_01_276.jpg, 0, 0, 0, 7.82174E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_01_379.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_01_379.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_01_379.jpg, 0, 0, 0, 7.954866E-05
C:\Users\R417010\Desktop\Data\IMG\center_2020_04_22_11_04_01_481.jpg, C:\Users\R417010\Desktop\Data\IMG\left_2020_04_22_11_04_01_481.jpg, C:\Users\R417010\Desktop\Data\IMG\right_2020_04_22_11_04_01_481.jpg, 0, 0, 0, 7.891317E-05
